タイムスタンプ,受付,国籍※国籍が分かる場合「その他」に国名を記入,時間帯,目的,人数,性別,年齢,問い合わせ内容,Komatsu九館内の案内,交通,目的地※主な所を一ヶ所,周辺店舗、飲食店※複数可,観光案内,パンフレットお渡し,物産,宿泊,イベント,その他（落とし物、ATM、公衆電話、授乳室など）,問い合わせ内容/回答
2025/03/29,窓口,1.日本,15時台,観光,個人,男性,40代から50代,宿泊,,,,,,,,周辺ホテル,,,本日泊まれる宿はあるか？お尋ねで、周辺宿泊施設の連絡先一覧をお渡ししました。(中出)
2025/03/30,電話,1.日本,08時台,観光,個人,女性,40代から50代,物産,,,,,,,食品,,,,山代の温泉卵があるかお問い合わせ
2025/03/30,電話,1.日本,08時台,観光,個人,女性,40代から50代,物産,,,,,,,お土産を購入したら熨斗を付けてもらえるか,,,,お土産を購入したら熨斗を付けてもらえるかのお問い合わせ、ございますと答えました(大音)
2025/03/30,窓口,1.日本,09時台,観光,家族連れ,男女,20代から30代,交通,,鉄道,日本自動車博物館,,,,,,,,自動車博物館へのアクセス案内。バスが2時間後までなかったので、電車→タクシーで向かうアクセスをご案内しました。(中出)
2025/03/30,窓口,1.日本,09時台,観光,個人,男性,40代から50代,交通,,鉄道,丸岡城,,,,,,,,丸岡城までのアクセス案内。電車→バスでのアクセスを案内しました。(中出)
2025/03/30,窓口,1.日本,10時台,市民利用,個人,女性,60代以上,物産,,,,,,,取扱いのないもの（金沢土産、栗蒸し羊羹等）,,,,小倉織物の扇子を展示してある場所はどこか？とお問い合わせ。ナイン内のギャラリーをご案内しました。(廣瀬)
2025/03/30,窓口,1.日本,10時台,観光,2〜5人,女性,60代以上,交通,,バス,小松空港,,,,,,,,小松空港行きのバス時刻をお伝えしました。(中出)
2025/03/30,窓口,1.日本,09時台,観光,個人,女性,20代から30代,交通,,バス,いしかわ動物園,,,,,,,,いしかわ動物園までのアクセス案内。(中出)
2025/03/30,窓口,3.欧米,14時台,観光,個人,男性,40代から50代,Komatsu九館内,Wi-Fi,,,,,,,,,,Wi-Fiのパスワードをお伝えしました。(中出)
2025/03/30,窓口,1.日本,14時台,観光,個人,女性,40代から50代,交通,,バス,旅館の送迎バス,,,,,,,,旅館の送迎バスが来るのはどこか？とお尋ね。IRの改札の辺りでスタッフが待っていたり、東口、西口のロータリーに車が停まっていたりするので詳しくはご自身で確認していただく様お伝えしました。(中出)
2025/03/31,窓口,2.アジア,10時台,観光,個人,男性,60代以上,観光案内,,,,,みよっさ,見て歩きマップ,,,,,この辺りで見てまわれるのはこまつの杜だけかとのお尋ね。見て歩きマップでみよっさをご案内しました。
2025/03/31,窓口,2.アジア,10時台,観光,個人,男性,20代から30代,落とし物,落とし物,,,,,,,,,,アジアの男性。昨夜ナイン周辺で英語の本3冊を置き忘れたのだが、届いてないかとのお尋ねがあり、事務所にも聞いてみたがありませんでした。念の為交番の場所もご案内しました
2025/03/31,窓口,1.日本,09時台,観光,個人,男性,20代から30代,交通,,バス,鳥越一向一揆歴史館,,,,,,,,鳥越方面のバスを教えて欲しいとの事で、麦口線をご案内しました。(中出)
2025/03/31,窓口,1.日本,11時台,観光,個人,女性,20代から30代,Komatsu九館内,お手洗い,,,,,,,,,,
2025/04/01,窓口,1.日本,11時台,観光,個人,男性,60代以上,観光案内,,,,,こまつの杜,個別のパンフレット,,,,,
2025/04/01,窓口,1.日本,13時台,市民利用,個人,女性,40代から50代,Komatsu九館内,お手洗い,,,,,,,,,,
